name,passmark,rank,value,price
Intel Media Accelerator 3150,3,1332,NA,NA
Intel Media Accelerator 500,3,1339,NA,NA
Intel Media Accelerator 600,6,1282,NA,NA
Intel Media Accelerator HD,116,962,NA,NA
Intel Q33 Express,12,1256,NA,NA
Intel Q35 Express,12,1254,NA,NA
Intel Q45/Q43 Express Chipset,68,1078,NA,NA
Intel Q45/Q43 Express-Chipsatz,63,1090,NA,NA
Intel Q965/Q963 Express,7,1269,NA,NA
Intel Skylake HD DT GT2,578,591,NA,NA
Intel US15 Embedded Media and Controller,7,1268,NA,NA
ION,102,993,0.44,$229.99*
ION LE,102,994,NA,NA
KB 2C,235,828,NA,NA
M860G with Mobility Radeon 4100,76,1060,NA,NA
M880G with Mobility Radeon HD 4200,94,1019,NA,NA
M880G with Mobility Radeon HD 4225,74,1067,NA,NA
M880G with Mobility Radeon HD 4250,106,980,NA,NA
Matrox G200e WDDM 1.2,59,1107,NA,NA
Matrox G200eh,40,1161,NA,NA
Matrox G200eh WDDM 1.2,50,1124,NA,NA
Matrox G200eR,30,1197,NA,NA
Matrox G200eR WDDM 1.2,63,1089,NA,NA
Matrox G200eW,42,1156,NA,NA
Matrox G200eW WDDM 1.2,48,1130,NA,NA
Matrox M9140 LP PCIe x16,19,1236,NA,NA
Matrox Millennium P650 PCIe 128,5,1292,NA,NA
Matrox Parhelia APVe,5,1294,NA,NA
Mobile Intel - famiglia Express Chipset 45,41,1159,NA,NA
Mobile Intel - famiglia Express Chipset serie 4,46,1137,NA,NA
Mobile Intel 4 Express-Chipsatzfamilie,44,1141,NA,NA
Mobile Intel 45 Express,42,1153,NA,NA
Mobile Intel 45 Express-Chipsatzfamilie,40,1164,NA,NA
Mobile Intel 915GM/GMS/910GML Express,4,1326,NA,NA
Mobile Intel 945 Express,5,1291,NA,NA
Mobile Intel 945GM Express,5,1297,NA,NA
Mobile Intel 945GM/GU Express,5,1303,NA,NA
Mobile Intel 965 Express,19,1235,NA,NA
Mobile Intel 965 Express-Chipsatzfamilie,24,1221,NA,NA
Mobile Intel HD,409,710,NA,NA
Mobile Intel serie 4 Express,44,1147,NA,NA
MOBILITY FIREGL T2,39,1165,NA,NA
MOBILITY FIREGL T2/T2e,33,1188,NA,NA
MOBILITY FireGL V3200,61,1099,NA,NA
MOBILITY FireGL V5000,81,1053,NA,NA
MOBILITY FireGL V5200,44,1143,NA,NA
MOBILITY FireGL V5250,26,1210,NA,NA
Mobility FireGL V5725,227,833,NA,NA
Mobility Radeon 4100,88,1034,NA,NA
MOBILITY RADEON 7000 IGP,6,1273,NA,NA
MOBILITY RADEON 7500,4,1313,NA,NA
MOBILITY RADEON 9000,3,1345,NA,NA
MOBILITY RADEON 9000 IGP,7,1264,NA,NA
MOBILITY RADEON 9000/9100 IGP,5,1295,NA,NA
MOBILITY RADEON 9200,3,1338,NA,NA
MOBILITY RADEON 9600 PRO TURBO,23,1223,NA,NA
MOBILITY RADEON 9600/9700,38,1170,NA,NA
MOBILITY RADEON 9700,27,1208,NA,NA
Mobility Radeon HD 2300,52,1120,NA,NA
